PLAN,LOGIN,ELEMENTO,MODELO,IP,PUERTO,RESULTADO
Home ADSL Mixto 4 y 8,uioaxserranon1,uiomdn2santaines1,A2024,172.30.251.19,xdsl 22,CAMBIADO
Home ADSL Mixto 3 y 6,uiodterana_m,uiolbshvalles1,A2024,172.30.249.148,xdsl 23,CAMBIADO
Home ADSL Mixto 1 y 2,stdjcortesv1,stdmtlautolandia1,A2024,172.30.253.69,xdsl 1,CAMBIADO
Home ADSL Mixto 2 y 4,aearguellom1,uiosnlurbfranciscoB1,A2024,172.30.252.91,xdsl 21,CAMBIADO
Home ADSL Mixto 1 y 2,porrmdelga_m,pornorlafuente1,A2024,172.29.166.254,xdsl 4,CAMBIADO
Internet Home ADSL Mixto 0.5 y 2.5,porygchavezl1,pornorlafuente1,A2024,172.29.166.254,xdsl 5,CAMBIADO
Home ADSL Mixto 1 y 2,balcatino_m,balbalciruelos1,A2024,172.26.5.254,xdsl 23,CAMBIADO
Home ADSL Mixto 3 y 6,uioomnune_m,uiopamjardinespampa1,A2024,172.30.252.126,xdsl 8,CAMBIADO
Home ADSL Mixto 1 y 2,stdcfmorenoc1,stdmtlfomento1,A2024,172.30.253.70,xdsl 12,CAMBIADO
Home ADSL Mixto 1 y 2,gyemycede_m,gyeeuriseyco1,A2024,172.17.100.254,xdsl 2,CAMBIADO
Home ADSL Mixto 1 y 2,gyentcepedat1,gyeeuriseyco1,A2024,172.17.100.254,xdsl 3,CAMBIADO
Home ADSL Mixto 1 y 2,ptvmaramo_m,ptvzar13demayo1,A2024,172.24.74.254,xdsl 2,CAMBIADO
Home ADSL Mixto 1 y 2,ptvlfenri2_m,ptvzar13demayo1,A2024,172.24.74.254,xdsl 1,CAMBIADO
Home ADSL Mixto 2 y 4,uiomeneses,uiolbsrealalto1,A2024,172.30.249.150,xdsl 17,CAMBIADO
Home ADSL Mixto 1 y 2,pormgpera_m,porpascomercio1,A2024,172.29.126.254,xdsl 7,CAMBIADO
Home ADSL Mixto 2 y 4,pornaalva_m,porpascomercio1,A2024,172.29.126.254,xdsl 2,CAMBIADO
Home ADSL Mixto 2 y 4,uioschavez_m,uiokedlaluz1,A2024,172.30.254.218,xdsl 9,CAMBIADO
