PLAN,LOGIN,ELEMENTO,MODELO,IP,PUERTO,RESULTADO
Home ADSL Mixto 4 y 8,uioscalistog1,uiomdn2huertos1,R1AD24A,172.30.251.20,2/9,CAMBIADO
Home ADSL Mixto 4 y 8,uiotbustot_m,uiomdn2huertos1,R1AD24A,172.30.251.20,2/20,CAMBIADO
Home ADSL Mixto 3 y 6,uiopredios,uiomdn2huertos1,R1AD24A,172.30.251.20,2/19,CAMBIADO
Home ADSL Mixto 3 y 6,uiopeiturral_m,uiomdn2huertos1,R1AD24A,172.30.251.20,2/1,CAMBIADO
Home ADSL Mixto 6 y 12,uiotshura_m,uiomdn2huertos1,R1AD24A,172.30.251.20,2/24,CAMBIADO
Home ADSL Mixto 3 y 6,uiomgproc_m,uionpm2cantaros1,R1AD24A,172.30.251.34,2/16,CAMBIADO
Home ADSL Mixto 2 y 4,porkizambranop,porporgrandacenteno1,R1AD24A,172.29.110.254,2/15,CAMBIADO
Home ADSL Mixto 2 y 4,porkpcoel_m,porporgrandacenteno1,R1AD24A,172.29.110.254,2/24,CAMBIADO
Internet Home ADSL Mixto 0.5 y 6.1,porgxmorenol2,porporgrandacenteno1,R1AD24A,172.29.110.254,2/19,CAMBIADO
Home ADSL Mixto 2 y 4,uiomasantosv,uiotndnevada1,R1AD24A,172.30.251.182,2/3,CAMBIADO
Home ADSL Mixto 3 y 6,uiomsespinosav1,uiotndnevada1,R1AD24A,172.30.251.182,2/11,CAMBIADO
Home ADSL Mixto 3 y 6,uiomlmere_m,uiotndnevada1,R1AD24A,172.30.251.182,2/10,CAMBIADO
Home ADSL Mixto 1 y 2,manlemaci_m,mntcabmcentro1,R1AD24A,172.28.101.253,2/11,CAMBIADO
Home ADSL Mixto 1 y 2,manmamontes_m,mntcabmcentro1,R1AD24A,172.28.101.253,2/21,CAMBIADO
Home ADSL Mixto 2 y 4,mandccajasc_m,mntcabmcentro1,R1AD24A,172.28.101.253,2/20,CAMBIADO
Home ADSL Mixto 2 y 4,manxhe_m,mntcabmcentro1,R1AD24A,172.28.101.253,2/10,CAMBIADO
Home ADSL Mixto 1 y 2,porlahida_m,porpastamarindos3,R1AD24A,172.29.26.245,2/19,CAMBIADO
Home ADSL Mixto 2 y 4,porjjcast_m,porpastamarindos3,R1AD24A,172.29.26.245,2/23,CAMBIADO
